ts_code,trade_date,open,high,low,close
000063.SZ,2023-07-03,44.8,45.45,43.0,43.95
000063.SZ,2023-07-04,43.2,43.94,43.05,43.3
000063.SZ,2023-07-05,43.27,44.05,42.3,42.34
000063.SZ,2023-07-06,41.8,43.2,41.65,41.98
000063.SZ,2023-07-07,41.98,42.2,40.68,41.69
000063.SZ,2023-07-10,42.2,42.3,40.64,41.1
000063.SZ,2023-07-11,41.12,43.0,40.7,42.01
000063.SZ,2023-07-12,41.92,42.17,39.74,40.2
000063.SZ,2023-07-13,40.74,41.58,39.7,41.18
000063.SZ,2023-07-14,42.28,43.7,41.6,42.71
000063.SZ,2023-07-17,42.6,43.99,42.1,42.87
000063.SZ,2023-07-18,42.99,43.45,41.5,41.55
000063.SZ,2023-07-19,41.46,41.73,40.8,40.89
000063.SZ,2023-07-20,41.2,41.26,38.75,38.89
000063.SZ,2023-07-21,39.68,39.68,38.31,38.88
000063.SZ,2023-07-24,38.89,40.84,38.52,39.88
000063.SZ,2023-07-25,40.5,40.8,39.28,39.56
000063.SZ,2023-07-26,39.4,39.44,37.79,38.05
000063.SZ,2023-07-27,38.07,38.47,37.49,37.72
000063.SZ,2023-07-28,37.72,38.45,37.61,38.06
000063.SZ,2023-07-31,37.86,38.35,37.6,37.85
000063.SZ,2023-08-01,37.72,39.18,37.09,38.53
000063.SZ,2023-08-02,38.32,39.35,38.21,38.6
000063.SZ,2023-08-03,38.4,39.34,38.03,38.52
000063.SZ,2023-08-04,38.44,39.76,38.31,39.52
000063.SZ,2023-08-07,40.51,40.55,35.44,35.45
000063.SZ,2023-08-08,36.44,37.0,36.01,36.11
000063.SZ,2023-08-09,35.91,36.64,35.4,35.59
000063.SZ,2023-08-10,35.48,35.77,34.88,35.17
000063.SZ,2023-08-11,35.38,35.5,34.3,34.45
000063.SZ,2023-08-14,34.19,35.51,34.01,35.32
000063.SZ,2023-08-15,35.32,36.23,35.1,35.41
000063.SZ,2023-08-16,35.0,35.1,34.05,34.25
000063.SZ,2023-08-17,34.25,35.05,33.74,34.61
000063.SZ,2023-08-18,34.48,34.48,33.16,33.31
000063.SZ,2023-08-21,33.5,34.2,33.2,33.3
000063.SZ,2023-08-22,33.8,35.2,33.4,35.03
000063.SZ,2023-08-23,34.53,34.53,33.4,33.43
000063.SZ,2023-08-24,34.06,34.41,33.06,33.65
000063.SZ,2023-08-25,32.92,32.94,31.6,32.41
000063.SZ,2023-08-28,34.1,34.24,32.82,32.97
000063.SZ,2023-08-29,32.7,33.81,32.33,33.61
000063.SZ,2023-08-30,33.64,34.9,33.62,33.9
000063.SZ,2023-08-31,33.68,34.54,33.55,34.15
000063.SZ,2023-09-01,34.21,34.3,33.1,33.56
000063.SZ,2023-09-04,34.0,34.15,33.34,33.92
000063.SZ,2023-09-05,33.87,33.87,32.72,32.9
000063.SZ,2023-09-06,32.68,32.76,31.97,32.58
000063.SZ,2023-09-07,32.6,32.68,31.8,31.87
000063.SZ,2023-09-08,31.72,32.1,31.25,31.55
000063.SZ,2023-09-11,31.64,33.65,31.58,32.88
000063.SZ,2023-09-12,32.7,33.0,32.32,32.6
000063.SZ,2023-09-13,32.43,32.43,31.43,31.7
000063.SZ,2023-09-14,32.12,32.93,31.91,32.04
000063.SZ,2023-09-15,31.98,32.12,31.26,31.3
000063.SZ,2023-09-18,31.24,31.95,31.0,31.33
000063.SZ,2023-09-19,31.3,31.44,30.78,31.02
000063.SZ,2023-09-20,31.05,31.56,31.0,31.13
000063.SZ,2023-09-21,31.23,32.79,31.15,31.91
000063.SZ,2023-09-22,31.84,33.5,31.58,33.46
000063.SZ,2023-09-25,33.24,33.35,32.38,32.47
000063.SZ,2023-09-26,32.42,33.12,32.35,32.58
000063.SZ,2023-09-27,32.35,32.55,31.43,31.68
000063.SZ,2023-09-28,31.52,31.76,31.12,31.38
000063.SZ,2023-10-09,31.14,32.58,30.78,32.25
000063.SZ,2023-10-10,32.25,32.45,31.57,31.63
000063.SZ,2023-10-11,31.71,33.08,31.71,32.62
000063.SZ,2023-10-12,32.88,32.99,32.26,32.43
000063.SZ,2023-10-13,32.2,32.2,30.51,30.96
000063.SZ,2023-10-16,30.96,30.96,30.02,30.44
000063.SZ,2023-10-17,30.5,30.68,30.04,30.17
000063.SZ,2023-10-18,29.68,29.7,28.7,29.05
000063.SZ,2023-10-19,29.1,29.67,28.8,28.91
000063.SZ,2023-10-20,28.84,28.88,27.7,27.79
000063.SZ,2023-10-23,27.65,27.7,26.43,26.68
000063.SZ,2023-10-24,26.69,26.79,24.27,24.89
000063.SZ,2023-10-25,25.45,25.45,24.39,24.6
000063.SZ,2023-10-26,24.25,24.44,23.6,24.36
000063.SZ,2023-10-27,24.1,25.0,23.85,24.76
000063.SZ,2023-10-30,24.52,25.82,24.26,25.32
000063.SZ,2023-10-31,25.33,25.33,24.7,24.85
000063.SZ,2023-11-01,24.93,25.17,24.53,24.73
000063.SZ,2023-11-02,24.85,24.98,24.35,24.41
000063.SZ,2023-11-03,24.42,25.08,24.42,25.0
000063.SZ,2023-11-06,25.25,25.9,24.98,25.76
000063.SZ,2023-11-07,25.6,26.15,25.23,25.91
000063.SZ,2023-11-08,25.9,26.27,25.46,25.97
000063.SZ,2023-11-09,25.82,26.49,25.75,26.39
000063.SZ,2023-11-10,26.1,26.27,25.76,25.91
000063.SZ,2023-11-13,26.05,26.86,26.05,26.62
000063.SZ,2023-11-14,26.59,26.74,26.25,26.48
000063.SZ,2023-11-15,26.82,26.87,26.4,26.47
000063.SZ,2023-11-16,26.34,26.61,26.13,26.13
000063.SZ,2023-11-17,25.95,26.55,25.87,26.26
000063.SZ,2023-11-20,26.18,26.57,25.76,26.22
000063.SZ,2023-11-21,26.47,26.65,25.88,25.94
000063.SZ,2023-11-22,25.91,25.94,25.27,25.27
000063.SZ,2023-11-23,25.37,25.53,25.08,25.53
000063.SZ,2023-11-24,25.52,25.55,24.86,24.95
000063.SZ,2023-11-27,24.76,25.06,24.55,24.81
000063.SZ,2023-11-28,24.79,24.89,24.49,24.68
000063.SZ,2023-11-29,24.68,24.85,24.41,24.48
000063.SZ,2023-11-30,24.34,24.54,24.13,24.33
000063.SZ,2023-12-01,24.29,24.98,24.22,24.84
000063.SZ,2023-12-04,24.85,25.0,24.31,24.48
000063.SZ,2023-12-05,24.35,24.35,23.73,23.78
000063.SZ,2023-12-06,23.7,24.12,23.62,23.91
000063.SZ,2023-12-07,23.84,24.07,23.62,23.87
000063.SZ,2023-12-08,23.8,25.18,23.74,24.8
000063.SZ,2023-12-11,24.6,25.32,24.21,25.27
000063.SZ,2023-12-12,25.15,25.48,24.9,25.15
000063.SZ,2023-12-13,25.15,25.22,24.58,24.58
000063.SZ,2023-12-14,24.74,25.97,24.74,25.05
000063.SZ,2023-12-15,25.16,25.94,24.82,25.38
000063.SZ,2023-12-18,25.15,25.24,24.45,24.67
000063.SZ,2023-12-19,24.53,24.94,24.36,24.64
000063.SZ,2023-12-20,24.64,24.71,23.85,23.86
000063.SZ,2023-12-21,23.63,24.44,23.4,24.27
000063.SZ,2023-12-22,24.27,24.65,23.71,23.87
000063.SZ,2023-12-25,23.8,24.36,23.8,24.02
000063.SZ,2023-12-26,23.97,24.02,23.08,23.34
000063.SZ,2023-12-27,23.33,23.55,23.18,23.34
000063.SZ,2023-12-28,23.24,25.11,23.16,25.0
000063.SZ,2023-12-29,24.95,25.23,24.8,25.18
000063.SZ,2024-01-02,25.2,25.21,24.28,24.3
000063.SZ,2024-01-03,24.2,24.47,23.76,24.03
000063.SZ,2024-01-04,24.12,24.12,23.46,23.64
000063.SZ,2024-01-05,23.72,24.03,23.08,23.25
000063.SZ,2024-01-08,23.18,23.2,22.09,22.1
000063.SZ,2024-01-09,22.24,22.85,22.12,22.47
