ts_code,trade_date,open,high,low,close,change,pct_chg,vol,amount
300308.SZ,20230704,103.05,105.79,101.96,103.06,0.38,0.37,310201,4580082239.0
300308.SZ,20230705,102.69,103.06,97.45,97.62,-5.44,-5.28,341397,4864646976.0
300308.SZ,20230706,97.49,102.37,96.72,98.23,0.61,0.62,323412,4578612223.0
300308.SZ,20230707,101.67,106.0,95.66,103.39,5.16,5.25,507938,7325079902.0
300308.SZ,20230710,102.12,103.32,96.24,100.96,-2.43,-2.35,419946,5942156102.0
300308.SZ,20230711,102.67,104.69,100.22,104.48,3.52,3.49,345456,5054824477.0
300308.SZ,20230712,105.2,106.99,97.5,97.5,-6.98,-6.68,465962,6734275073.0
300308.SZ,20230713,99.69,108.93,99.69,108.57,11.07,11.35,536983,7947614825.0
300308.SZ,20230714,110.34,112.45,106.35,109.43,0.86,0.79,539874,8351777076.0
300308.SZ,20230717,108.5,116.3,108.38,111.1,1.67,1.53,405983,6478700227.0
300308.SZ,20230718,112.8,113.1,105.55,106.48,-4.62,-4.16,311922,4811204345.0
300308.SZ,20230719,108.43,109.84,104.78,104.84,-1.64,-1.54,221403,3357756300.0
300308.SZ,20230720,103.76,104.41,90.86,91.19,-13.65,-13.02,671198,9235924769.0
300308.SZ,20230721,91.19,92.43,88.1,91.36,0.17,0.19,527382,6789054875.0
300308.SZ,20230724,91.3,95.45,90.38,91.9,0.54,0.59,393842,5213235803.0
300308.SZ,20230725,93.46,99.07,91.19,94.24,2.34,2.55,447119,6031733705.0
300308.SZ,20230726,94.36,95.2,89.05,90.5,-3.74,-3.97,400397,5222877717.0
300308.SZ,20230727,89.1,91.98,88.39,89.68,-0.82,-0.91,253277,3245832687.0
300308.SZ,20230728,88.76,92.04,87.31,88.96,-0.72,-0.8,341067,4345023431.0
300308.SZ,20230731,86.93,92.23,86.88,89.75,0.79,0.89,372555,4779940266.0
300308.SZ,20230801,89.75,95.49,89.5,94.63,4.88,5.44,484146,6416563398.0
300308.SZ,20230802,94.06,95.49,91.56,93.92,-0.71,-0.75,264234,3525725901.0
300308.SZ,20230803,91.46,95.13,89.99,91.55,-2.37,-2.52,301570,3954508032.0
300308.SZ,20230804,91.21,99.11,90.83,98.33,6.78,7.41,458229,6212604411.0
300308.SZ,20230807,99.09,103.16,97.57,99.63,1.3,1.32,413930,5916033330.0
300308.SZ,20230808,99.63,101.55,94.42,94.43,-5.2,-5.22,303276,4213408871.0
300308.SZ,20230809,94.19,95.6,88.75,88.92,-5.51,-5.84,417352,5455563216.0
